Date,USD/TWD close
7-Nov-19,30.33
8-Nov-19,30.381
11-Nov-19,30.403
12-Nov-19,30.464
13-Nov-19,30.504
14-Nov-19,30.499
15-Nov-19,30.492
18-Nov-19,30.499
19-Nov-19,30.52
20-Nov-19,30.509
21-Nov-19,30.509
22-Nov-19,30.558
25-Nov-19,30.492
26-Nov-19,30.495
27-Nov-19,30.495
28-Nov-19,30.475
29-Nov-19,30.514
2-Dec-19,30.488
3-Dec-19,30.495
4-Dec-19,30.464
5-Dec-19,30.464
6-Dec-19,30.422
9-Dec-19,30.464
10-Dec-19,30.444
11-Dec-19,30.411
12-Dec-19,30.222
13-Dec-19,30.218
16-Dec-19,30.104
17-Dec-19,30.145
18-Dec-19,30.151
19-Dec-19,30.154
20-Dec-19,30.111
23-Dec-19,30.141
24-Dec-19,30.142
25-Dec-19,30.065
26-Dec-19,30.088
27-Dec-19,30.083
30-Dec-19,30.088
31-Dec-19,29.909
1-Jan-20,29.914
2-Jan-20,29.987
3-Jan-20,30.044
6-Jan-20,30.056
7-Jan-20,30.039
8-Jan-20,30.017
9-Jan-20,29.968
10-Jan-20,29.96
13-Jan-20,29.872
14-Jan-20,29.901
15-Jan-20,29.915
16-Jan-20,29.915
17-Jan-20,29.948
20-Jan-20,29.954
21-Jan-20,30.046
22-Jan-20,29.982
23-Jan-20,30.031
24-Jan-20,30.041
27-Jan-20,30.177
28-Jan-20,30.056
29-Jan-20,30.076
30-Jan-20,30.25
31-Jan-20,30.346
3-Feb-20,30.237
4-Feb-20,30.085
5-Feb-20,30.016
6-Feb-20,30.07
7-Feb-20,30.169
10-Feb-20,30.085
11-Feb-20,30.022
12-Feb-20,29.981
13-Feb-20,29.998
14-Feb-20,30.024
17-Feb-20,30.009
18-Feb-20,30.098
19-Feb-20,30.156
20-Feb-20,30.363
21-Feb-20,30.385
24-Feb-20,30.43
25-Feb-20,30.396
26-Feb-20,30.267
27-Feb-20,30.261
28-Feb-20,30.122
2-Mar-20,29.85
3-Mar-20,29.891
4-Mar-20,29.912
5-Mar-20,29.946
6-Mar-20,29.9
9-Mar-20,29.985
10-Mar-20,29.918
11-Mar-20,30.143
12-Mar-20,30.167
13-Mar-20,30.135
16-Mar-20,30.236
17-Mar-20,30.194
18-Mar-20,30.35
19-Mar-20,30.464
20-Mar-20,30.265
23-Mar-20,30.249
24-Mar-20,30.161
25-Mar-20,30.293
26-Mar-20,30.204
27-Mar-20,30.181
30-Mar-20,30.276
31-Mar-20,30.268
1-Apr-20,30.292
2-Apr-20,30.186
3-Apr-20,30.235
6-Apr-20,30.199
7-Apr-20,30.089
8-Apr-20,30.107
9-Apr-20,30.068
10-Apr-20,30.036
13-Apr-20,30.069
14-Apr-20,30.039
15-Apr-20,30.087
16-Apr-20,30.106
17-Apr-20,30.035
20-Apr-20,30.029
21-Apr-20,30.078
22-Apr-20,30.082
23-Apr-20,30.061
24-Apr-20,30.08
27-Apr-20,30.03
28-Apr-20,29.96
29-Apr-20,29.829
30-Apr-20,29.776
1-May-20,29.893
4-May-20,29.808
5-May-20,29.864
6-May-20,29.996
7-May-20,29.885
8-May-20,29.845
11-May-20,29.861
12-May-20,29.91
13-May-20,29.898
14-May-20,29.879
15-May-20,29.954
18-May-20,29.931
19-May-20,29.93
20-May-20,29.915
21-May-20,29.922
22-May-20,30.069
